File,Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Rank,Men,Women,ShareWomen,Sample_size,Full_time,Part_time,Full_time_year_round,College_jobs,Non_college_jobs,Low_wage_jobs
all-ages.csv,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843856,80000,59000,110000,,,,,,,,,,,
all-ages.csv,2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,96000,65000,123000,,,,,,,,,,,
all-ages.csv,2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031611,92000,52000,124000,,,,,,,,,,,
all-ages.csv,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,97000,60000,125000,,,,,,,,,,,
all-ages.csv,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.067159424,95000,65000,128000,,,,,,,,,,,
all-ages.csv,2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,125000,75000,210000,,,,,,,,,,,
all-ages.csv,2499,MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,0.058821008,70000,50000,1.00E+05,,,,,,,,,,,
all-ages.csv,2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,63000,40000,93000,,,,,,,,,,,
all-ages.csv,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,0.054658256,74000,50000,107000,,,,,,,,,,,
all-ages.csv,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,0.058384094,67000,46900,91000,,,,,,,,,,,
all-ages.csv,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,70000,48000,98000,,,,,,,,,,,
all-ages.csv,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,0.043533273,60000,40000,82000,,,,,,,,,,,
all-ages.csv,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000,,,,,,,,,,,
all-ages.csv,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,75791,45657,30428,4043,0.081348089,48000,30000,70000,,,,,,,,,,,
all-ages.csv,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,236342,153654,99459,9598,0.058792542,48000,33500,69000,,,,,,,,,,,
all-ages.csv,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,57793,34696,23046,2707,0.072373874,45000,30000,75000,,,,,,,,,,,
all-ages.csv,2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,0.055784849,40500,30000,60000,,,,,,,,,,,
all-ages.csv,3201,COURT REPORTING,Law & Public Policy,9330,7270,6143,518,0.066512583,50000,34000,75000,,,,,,,,,,,
all-ages.csv,3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,67037,49259,37254,3699,0.069847804,48000,34000,70000,,,,,,,,,,,
all-ages.csv,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,1098647,708882,482229,52248,0.068645304,50000,32900,75000,,,,,,,,,,,
all-ages.csv,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,59211,44913,29628,3569,0.07361495,40000,28800,65000,,,,,,,,,,,
all-ages.csv,3401,LIBERAL ARTS,Humanities & Liberal Arts,601221,404932,296792,29348,0.067578521,50000,33000,75000,,,,,,,,,,,
all-ages.csv,3402,HUMANITIES,Humanities & Liberal Arts,46188,29971,19460,2530,0.077843759,46700,30000,70000,,,,,,,,,,,
all-ages.csv,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.094842992,40000,30000,55000,,,,,,,,,,,
all-ages.csv,3600,BIOLOGY,Biology & Life Science,839454,583079,422788,36757,0.05930117,51000,35000,80000,,,,,,,,,,,
all-ages.csv,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,75322,52594,37103,4056,0.071597529,53000,33000,82000,,,,,,,,,,,
all-ages.csv,3602,BOTANY,Biology & Life Science,14135,9284,6333,327,0.034023515,50000,32000,75000,,,,,,,,,,,
all-ages.csv,3603,MOLECULAR BIOLOGY,Biology & Life Science,28197,20221,13366,1303,0.060537075,45000,30000,70000,,,,,,,,,,,
all-ages.csv,3604,ECOLOGY,Biology & Life Science,45368,36708,25677,1888,0.048916986,47500,32000,73000,,,,,,,,,,,
all-ages.csv,3605,GENETICS,Biology & Life Science,6362,4747,3498,206,0.041590955,48000,33000,80000,,,,,,,,,,,
all-ages.csv,3606,MICROBIOLOGY,Biology & Life Science,68885,45422,33990,2435,0.050880749,60000,40000,85000,,,,,,,,,,,
all-ages.csv,3607,PHARMACOLOGY,Biology & Life Science,5015,3481,2579,57,0.016110797,60000,35000,105000,,,,,,,,,,,
all-ages.csv,3608,PHYSIOLOGY,Biology & Life Science,43984,31394,20207,1692,0.051139455,50000,30000,75000,,,,,,,,,,,
all-ages.csv,3609,ZOOLOGY,Biology & Life Science,55395,35714,26152,1815,0.0483626,55000,34000,85000,,,,,,,,,,,
all-ages.csv,3611,NEUROSCIENCE,Biology & Life Science,13676,8987,5446,665,0.068897638,35000,28000,52000,,,,,,,,,,,
all-ages.csv,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,29389,22298,16508,1114,0.047582436,52000,33500,72800,,,,,,,,,,,
all-ages.csv,3700,MATHEMATICS,Computers & Mathematics,432806,280902,209838,15701,0.05293608,66000,42000,1.00E+05,,,,,,,,,,,
all-ages.csv,3701,APPLIED MATHEMATICS,Computers & Mathematics,19112,15136,12109,892,0.055652608,70000,47000,106000,,,,,,,,,,,
all-ages.csv,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,24806,18808,14468,1138,0.057054046,70000,43000,102000,,,,,,,,,,,
